Name	Artifact	Url	Version	Licenses
Spring Boot Actuator AutoConfigure	org.springframework.boot:spring-boot-actuator-autoconfigure	https://projects.spring.io/spring-boot/#/spring-boot-parent/spring-boot-actuator-autoconfigure	2.2.5.RELEASE	Apache License 2.0
Spring Boot AutoConfigure	org.springframework.boot:spring-boot-autoconfigure	https://projects.spring.io/spring-boot/#/spring-boot-parent/spring-boot-autoconfigure	2.2.5.RELEASE	Apache License 2.0
Spring Boot Starter	org.springframework.boot:spring-boot-starter	https://projects.spring.io/spring-boot/#/spring-boot-parent/spring-boot-starters/spring-boot-starter	2.2.5.RELEASE	Apache License 2.0
Spring Boot Actuator Starter	org.springframework.boot:spring-boot-starter-actuator	https://projects.spring.io/spring-boot/#/spring-boot-parent/spring-boot-starters/spring-boot-starter-actuator	2.2.5.RELEASE	Apache License 2.0
Spring Boot Json Starter	org.springframework.boot:spring-boot-starter-json	https://projects.spring.io/spring-boot/#/spring-boot-parent/spring-boot-starters/spring-boot-starter-json	2.2.5.RELEASE	Apache License 2.0
Spring Boot Logging Starter	org.springframework.boot:spring-boot-starter-logging	https://projects.spring.io/spring-boot/#/spring-boot-parent/spring-boot-starters/spring-boot-starter-logging	2.2.5.RELEASE	Apache License 2.0
Spring Boot Tomcat Starter	org.springframework.boot:spring-boot-starter-tomcat	https://projects.spring.io/spring-boot/#/spring-boot-parent/spring-boot-starters/spring-boot-starter-tomcat	2.2.5.RELEASE	Apache License 2.0
Spring Boot Validation Starter	org.springframework.boot:spring-boot-starter-validation	https://projects.spring.io/spring-boot/#/spring-boot-parent/spring-boot-starters/spring-boot-starter-validation	2.2.5.RELEASE	Apache License 2.0
Spring Boot Web Starter	org.springframework.boot:spring-boot-starter-web	https://projects.spring.io/spring-boot/#/spring-boot-parent/spring-boot-starters/spring-boot-starter-web	2.2.5.RELEASE	Apache License 2.0
spring-security-config	org.springframework.security:spring-security-config	https://spring.io/spring-security	5.4.2	Apache License 2.0
spring-security-core	org.springframework.security:spring-security-core	https://spring.io/spring-security	5.4.2	Apache License 2.0
spring-security-web	org.springframework.security:spring-security-web	https://spring.io/spring-security	5.4.2	Apache License 2.0
SnakeYAML	org.yaml:snakeyaml	http://www.snakeyaml.org	1.25	Apache License 2.0
WSDL4J	wsdl4j:wsdl4j	http://sf.net/projects/wsdl4j	1.6.3	CPL
XML Commons Resolver Component	xml-resolver:xml-resolver	http://xml.apache.org/commons/components/resolver/	1.2	Apache License 2.0
